ms,MemFree,Buffers,Cached,Active,Inactive,SwapFree,pgpgin,pgpgout,pgalloc_dma,pgfree,pgactivate,pgdeactivate,pgfault,pgmajfault,Disk_Read,Disk_Write,Net_Sent,Net_Received,Tcp_Listen,Tcp_Established,Tcp_Syn,Tcp_TimeWait,Tcp_Close,nr_active_file,nr_inactive_file
1778176792415,2512318464,61739008,814010368,292036608,943730688,1073737728,854647,50395,6,6350190,54530,0,3917601,3469,875159040,51604480,5887203,2401437,9,2,0,0,0,70417,125170
1778176792711,2512318464,61739008,814010368,292048896,943763456,1073737728,854647,50515,6,6351856,54530,0,3917601,3469,875159040,51727360,5888409,2402409,9,2,0,0,0,70420,125178
1778176793007,2512318464,61739008,814026752,292048896,943763456,1073737728,854647,50515,6,6353515,54530,0,3917601,3469,875159040,51727360,5888607,2402449,9,2,0,0,0,70420,125178
1778176793303,2512318464,61739008,814026752,292048896,943763456,1073737728,854647,50515,6,6355175,54530,0,3917601,3469,875159040,51727360,5888875,2402627,9,2,0,0,0,70420,125178
1778176793599,2512318464,61739008,814026752,292048896,943767552,1073737728,854647,50551,6,6356837,54530,0,3917601,3469,875159040,51764224,5889645,2403251,9,2,0,0,0,70420,125179
1778176793895,2512318464,61739008,814026752,292048896,943767552,1073737728,854647,50551,6,6358497,54530,0,3917601,3469,875159040,51764224,5889961,2403467,9,2,0,0,0,70420,125179
1778176794191,2512318464,61739008,814026752,292048896,943767552,1073737728,854647,50551,6,6360157,54530,0,3917601,3469,875159040,51764224,5890229,2403553,9,2,0,0,0,70420,125179
1778176794487,2512318464,61739008,814026752,292048896,943767552,1073737728,854647,50551,6,6361821,54530,0,3917601,3469,875159040,51764224,5891015,2405337,9,2,0,0,0,70420,125179
1778176794783,2512318464,61739008,814026752,292048896,943767552,1073737728,854647,50551,6,6363478,54530,0,3917601,3469,875159040,51764224,5891511,2406639,9,2,0,0,0,70420,125179
1778176795079,2512318464,61739008,814026752,292048896,943767552,1073737728,854647,50551,6,6365138,54530,0,3917601,3469,875159040,51764224,5894873,2407911,9,2,0,0,0,70420,125179
1778176795375,2512318464,61739008,814026752,292048896,943767552,1073737728,854647,50551,6,6366800,54530,0,3917601,3469,875159040,51764224,5895307,2408127,9,2,0,0,0,70420,125179
1778176795672,2512318464,61739008,814026752,292048896,943767552,1073737728,854647,50551,6,6368466,54530,0,3917613,3469,875159040,51764224,5896395,2408923,9,2,0,0,0,70420,125179
1778176795968,2512318464,61739008,814034944,292048896,943767552,1073737728,854647,50551,6,6370126,54530,0,3917614,3469,875159040,51764224,5896663,2409055,9,2,0,0,0,70420,125179
1778176796263,2512318464,61739008,814034944,292048896,943767552,1073737728,854647,50551,6,6371785,54530,0,3917614,3469,875159040,51764224,5896861,2409095,9,2,0,0,0,70420,125179
1778176796559,2512318464,61739008,814034944,292048896,943767552,1073737728,854647,50551,6,6373446,54530,0,3917614,3469,875159040,51764224,5897733,2409855,9,2,0,0,0,70420,125179
1778176796853,2512318464,61739008,814034944,292048896,943767552,1073737728,854647,50551,6,6375104,54530,0,3917614,3469,875159040,51764224,5897947,2410061,9,2,0,0,0,70420,125179
1778176797151,2512318464,61739008,814039040,292048896,943767552,1073737728,854647,50551,6,6376779,54530,0,3917614,3469,875159040,51764224,5898145,2410147,9,2,0,0,0,70420,125179
1778176797443,2512318464,61747200,814034944,292048896,943767552,1073737728,854647,50603,6,6378439,54530,0,3917614,3469,875159040,51817472,5898429,2410777,9,2,0,0,0,70420,125179
1778176797739,2512318464,61747200,814039040,292048896,943767552,1073737728,854647,50603,6,6380103,54530,0,3917614,3469,875159040,51817472,5899427,2412911,9,2,0,0,0,70420,125179
1778176798034,2512318464,61747200,814039040,292048896,943767552,1073737728,854647,50603,6,6381761,54530,0,3917614,3469,875159040,51817472,5902961,2414411,9,2,0,0,0,70420,125179
1778176798330,2512318464,61747200,814039040,292048896,943767552,1073737728,854647,50603,6,6383419,54530,0,3917614,3469,875159040,51817472,5903293,2414497,9,2,0,0,0,70420,125179
