ms,MemFree,Buffers,Cached,Active,Inactive,SwapFree,pgpgin,pgpgout,pgalloc_dma,pgfree,pgactivate,pgdeactivate,pgfault,pgmajfault,Disk_Read,Disk_Write,Net_Sent,Net_Received,Tcp_Listen,Tcp_Established,Tcp_Syn,Tcp_TimeWait,Tcp_Close,nr_active_file,nr_inactive_file
1778298737560,2574266368,52764672,756219904,233508864,943714304,1073737728,834922,39707,6,2611225,48165,0,751291,3377,854960640,40659968,1440188,1055272,7,2,0,0,0,56131,126623
1778298737855,2574266368,52764672,756219904,233504768,943644672,1073737728,834922,39707,6,2613377,48165,0,752103,3377,854960640,40659968,1441930,1057056,7,2,0,0,0,56131,126623
1778298738149,2574188544,52764672,756224000,233508864,943722496,1073737728,834922,39707,6,2615023,48165,0,752103,3377,854960640,40659968,1442214,1057142,7,2,0,0,0,56131,126624
1778298738444,2574188544,52764672,756224000,233508864,943722496,1073737728,834922,39707,6,2616653,48165,0,752103,3377,854960640,40659968,1442412,1057182,7,2,0,0,0,56131,126624
1778298738737,2574188544,52764672,756224000,233508864,943722496,1073737728,834922,39707,6,2618283,48165,0,752103,3377,854960640,40659968,1442712,1057902,7,2,0,0,0,56131,126624
1778298739032,2574299136,52764672,756224000,233508864,943747072,1073737728,834922,39707,6,2620416,48165,0,752928,3377,854960640,40659968,1446072,1058724,7,2,0,0,0,56131,126624
1778298739321,2574299136,52764672,756232192,233508864,943808512,1073737728,834922,39707,6,2622048,48165,0,752928,3377,854960640,40659968,1447954,1059380,7,2,0,0,0,56131,126625
1778298739615,2574299136,52764672,756232192,233508864,943808512,1073737728,834922,39707,6,2623679,48165,0,752928,3377,854960640,40659968,1448222,1059466,7,2,0,0,0,56131,126625
1778298739909,2574299136,52764672,756232192,233512960,943845376,1073737728,834922,39707,6,2625832,48166,0,753733,3377,854960640,40659968,1450526,1060850,7,2,0,0,0,56131,126626
1778298740205,2574299136,52764672,756232192,233508864,943788032,1073737728,834922,39707,6,2627462,48166,0,753733,3377,854960640,40659968,1450740,1061814,7,2,0,0,0,56131,126626
1778298740501,2574299136,52772864,756224000,233508864,943788032,1073737728,834922,39791,6,2629092,48166,0,753733,3377,854960640,40745984,1451008,1061900,7,2,0,0,0,56131,126626
1778298740796,2574299136,52772864,756224000,233508864,943788032,1073737728,834922,39791,6,2630725,48166,0,753733,3377,854960640,40745984,1451872,1063500,7,2,0,0,0,56131,126626
1778298741093,2574041088,52772864,756236288,233517056,943824896,1073737728,834922,39791,6,2632871,48166,0,754544,3377,854960640,40745984,1452954,1063620,7,2,0,0,0,56133,126629
